ChengXiang Zhai Massung Analysis A Practical Retrieval Recent language text web pages news scientific emails enterprise media blog reviews increasing tools vast efficiently data generated generated rich content.	ChengXiang Zhai Sean Massung Text Data Management and Analysis A Practical Introduction to Information Retrieval Recent years have seen a dramatic growth of natural language text data including web pages news articles scientific literature emails enterprise documents and social media such as blog articles forum posts product reviews and tweets  This has led to an increasing demand for powerful software tools to help people manage and analyze vast amounts of text data effectively and efficiently  Unlike data generated by a computer system or sensors text data are usually generated directly by humans and capture semantically rich content.
increasing demand manage vast amounts data effectively efficiently Unlike generated usually humans semantically content.	 This has led to an increasing demand for powerful software tools to help people manage and analyze vast amounts of text data effectively and efficiently  Unlike data generated by a computer system or sensors text data are usually generated directly by humans and capture semantically rich content.
data directly humans rich content As text data valuable opinions preferences addition knowledge text In contrast conform easy handle text explicit structure	 Unlike data generated by a computer system or sensors text data are usually generated directly by humans and capture semantically rich content  As such text data are especially valuable for discovering knowledge about human opinions and preferences in addition to many other kinds of knowledge that we encode in text  In contrast to structured data which conform to welldefined schemas thus are relatively easy for computers to handle text has less explicit structure requiring computer processing toward understanding of the content encoded in text.
especially knowledge encode contrast conform easy handle text structure current natural language point language text range statistical heuristic management past decades.	 As such text data are especially valuable for discovering knowledge about human opinions and preferences in addition to many other kinds of knowledge that we encode in text  In contrast to structured data which conform to welldefined schemas thus are relatively easy for computers to handle text has less explicit structure requiring computer processing toward understanding of the content encoded in text  The current technology of natural language processing has not yet reached a point to enable a computer to precisely understand natural language text but a wide range of statistical and heuristic approaches to management and analysis of text data have been developed over the past few decades.
In contrast conform welldefined schemas relatively easy text explicit structure requiring content text The current technology natural point enable understand natural statistical analysis data past decades.	 In contrast to structured data which conform to welldefined schemas thus are relatively easy for computers to handle text has less explicit structure requiring computer processing toward understanding of the content encoded in text  The current technology of natural language processing has not yet reached a point to enable a computer to precisely understand natural language text but a wide range of statistical and heuristic approaches to management and analysis of text data have been developed over the past few decades.
technology natural natural language text management data usually topic.	 The current technology of natural language processing has not yet reached a point to enable a computer to precisely understand natural language text but a wide range of statistical and heuristic approaches to management and analysis of text data have been developed over the past few decades  They are usually very robust and can be applied to analyze and manage text data in any natural language and about any topic.
usually robust applied natural introduction emphasis covering knowledge required build	 They are usually very robust and can be applied to analyze and manage text data in any natural language and about any topic  This book provides a systematic introduction to many of these approaches with an emphasis on covering the most useful knowledge and skills required to build a variety of practically useful text information systems.
book provides introduction approaches covering knowledge skills required build Because better effective information text systems	 This book provides a systematic introduction to many of these approaches with an emphasis on covering the most useful knowledge and skills required to build a variety of practically useful text information systems  Because humans can understand natural languages far better than computers can effective involvement of humans in a text information system is generally needed and text information systems often serve as intelligent assistants for humans.
Depending information distinguish kinds information The retrieval assist relevant needed solving specific application problem effectively turning text data relevant data	 Depending on how a text information system collaborates with humans we distinguish two kinds of text information systems  The first is information retrieval systems which include search engines and recommender systems they assist users in finding from a large collection of text data the most relevant text data that are actually needed for solving a specific application problem thus effectively turning big raw text data into much smaller relevant text data that can be more easily processed by humans.
text data knowledge directly decision providing direct support users.	 The second is text mining application systems they can assist users in analyzing patterns in text data to extract and discover useful actionable knowledge directly useful for task completion or decision making thus providing more direct task support for users.
