include finding large collection data text data actually application effectively big raw text smaller relevant text easily humans.	 The first is information retrieval systems which include search engines and recommender systems they assist users in finding from a large collection of text data the most relevant text data that are actually needed for solving a specific application problem thus effectively turning big raw text data into much smaller relevant text data that can be more easily processed by humans.
English text pages social tweets scientific emails government documents kinds play	 English text or Chinese text all the web pages social media data such as tweets news scientific literature emails government documents and many other kinds of enterprise data  Text data play an essential role in our lives.
urgent intelligent systems text quickly major growth engine	 Thus there is an urgent need for developing intelligent information retrieval systems to help people manage the text data and get access to the needed relevant information quickly and accurately at any time  This need is a major reason behind the recent growth of the web search engine industry.
In structured welldefined schemas easy computers text structure tools requires content encoded text.	 In contrast to structured data which conform to welldefined schemas and are thus relatively easy for computers to handle text has less explicit structure so the development of intelligent software tools discussed above requires computer processing to understand the content encoded in text.
current natural reached point enable precisely text reason involved wide text	 The current technology of natural language processing has not yet reached a point to enable a computer to precisely understand natural language text a main reason why humans often should be involved in the loop but a wide range of statistical and heuristic approaches to management and analysis of text data have been developed over the past few decades.
They usually applied manage data language This provide systematic introduction approaches knowledge skills required build text systems.	 They are usually very robust and can be applied to analyze and manage text data in any natural language and about any topic  This book intends to provide a systematic introduction to many of these approaches with an emphasis on covering the most useful knowledge and skills required to build a variety of practically useful text information systems.
CS410 Information Illinois Urbana–Champaign Open Online “Text Retrieval Analytics” taught Coursera materials MOOCs reference	 CS410 Text Information Systems at the University of Illinois at Urbana–Champaign as well as the two Massive Open Online Courses MOOCs on “Text Retrieval and Search Engines” and “Text Mining and Analytics” taught by the first author on Coursera in 2015  Most of the materials in the book directly match those of these two MOOCs with also similar structures of topics  As such the book can be used as a main reference book for any of these two MOOCs.
2008 Compared books information retrieval cover text mining attempts paint building information support information	 2009 and Introduction to Information Retrieval by Manning et al  2008  Compared with these existing books on information retrieval our book has a broader coverage of topics as it attempts to cover topics in both information retrieval and text mining and attempts to paint a general roadmap for building a text information system that can support both text information access and text analysis.
book coverage topics attempts retrieval text text information includes word mining probabilistic nontext data available existing retrieval	 Compared with these existing books on information retrieval our book has a broader coverage of topics as it attempts to cover topics in both information retrieval and text mining and attempts to paint a general roadmap for building a text information system that can support both text information access and text analysis  For example it includes a detailed introduction to word association mining probabilistic topic modeling and joint analysis of text and nontext data which are not available in any existing information retrieval books.
association mining probabilistic topic analysis data available contrast far	 For example it includes a detailed introduction to word association mining probabilistic topic modeling and joint analysis of text and nontext data which are not available in any existing information retrieval books  In contrast with IR Text Mining TM is far from mature and is actually still in its infancy.
As textbook	 As such it appears that there is not yet a textbook on TM.
By introducing want integration IR text IR important TM The enable fast reduction data size filtering data application problem.	 By introducing TM and IR in a unified framework we want to emphasize the importance of integration of IR and TM in any practical text information system since IR plays two important roles in any TM application  The first is to enable fast reduction of the data size by filtering out a large amount of nonrelevant text data to obtain a small set of most relevant data to a particular application problem.
The second analyst verify interpret text analyst search browsing functions pattern feature availability toolkit	 The second is to support an analyst to verify and interpret any patterns discovered from text data where an analyst would need to use search and browsing functions to reach and examine the most relevant support data to the pattern  Another feature that sets this book apart is the availability of a companion toolkit for information retrieval and text mining i.
feature sets retrieval	 Another feature that sets this book apart is the availability of a companion toolkit for information retrieval and text mining i e  the META toolkit available at httpsmetatoolkit.
toolkit available	e  the META toolkit available at httpsmetatoolkit.
implementations book Many toolkit help readers acquire experimenting techniques applying solve application	org which contains implementations of many techniques discussed in the book  Many exercises in the book are also designed based on this toolkit to help readers acquire practical skills of experimenting with the learned techniques from the book and applying them to solve realworld application problems.
required content book book readers knowledge science particularly structures comfortable statistics probability estimation background basic ideas discussed background carefully 2 reading Bibliographical chapter solid concepts	 The required background knowledge to understand the content in this book is minimal since the book is intended to be mostly selfcontained  However readers are expected to have basic knowledge about computer science particularly data structures and programming languages and be comfortable with some basic concepts in probability and statistics such as conditional probability and parameter estimation  Readers who do not have this background may still be able to follow the basic ideas of most of the algorithms discussed in the book they can also acquire the needed background by carefully studying Chapter 2 of the book and if necessary reading some of the references mentioned in the Bibliographical Notes section of that chapter to have a solid understanding of all the major concepts mentioned therein.
readers data structures concepts conditional background able basic ideas algorithms book studying 2 mentioned Bibliographical section solid META experiment require knowledge	 However readers are expected to have basic knowledge about computer science particularly data structures and programming languages and be comfortable with some basic concepts in probability and statistics such as conditional probability and parameter estimation  Readers who do not have this background may still be able to follow the basic ideas of most of the algorithms discussed in the book they can also acquire the needed background by carefully studying Chapter 2 of the book and if necessary reading some of the references mentioned in the Bibliographical Notes section of that chapter to have a solid understanding of all the major concepts mentioned therein  META can be used by anyone to easily experiment with algorithms and build applications but modifying it or extending it would require at least some basic knowledge of C programming.
Readers background acquire needed background carefully studying Chapter 2 book reading references Notes section solid understanding major	 Readers who do not have this background may still be able to follow the basic ideas of most of the algorithms discussed in the book they can also acquire the needed background by carefully studying Chapter 2 of the book and if necessary reading some of the references mentioned in the Bibliographical Notes section of that chapter to have a solid understanding of all the major concepts mentioned therein.
” al.	” Lyman et al.
documents terabytes.	 office documents represent 195 terabytes.
Of course blog forum posts scientific literature Roe 2012 updates count 2003 trillion emails sent 2010.	” Of course there are also blog articles forum posts tweets scientific literature government documents etc  Roe 2012 updates the email count from 610 billion emails in 2003 to 107 trillion emails sent in 2010.
natural language natural way As result	 Text natural language is the most natural way of encoding human knowledge  As a result most human knowledge is encoded in the form of text data.
information strong software tools provide following people exploit big text	 The explosive growth of online text information has created a strong demand for intelligent software tools to provide the following two related services to help people manage and exploit big text data.
fact data produced humans communication purposes generally contain knowledge preferences offer opportunity applications ions preferences text data opinionated reviews forum media text topics product service.	 Due to the fact that text data are produced by humans for communication purposes they are generally rich in semantic content and often contain valuable knowledge information opinions and preferences of people  As such they offer great opportunity for discovering various kinds of knowledge useful for many applications especially knowledge about human opin ions and preferences which is often directly expressed in text data  For example it is now the norm for people to tap into opinionated text data such as product reviews forum discussions and social media text to obtain opinions about topics interesting to them and optimize various decisionmaking tasks such as purchasing a product or choosing a service.
services discussed text mining correspond natural shown Figure	 The two services discussed above i e  text retrieval and text mining conceptually correspond to the two natural steps in the process of analyzing any “big text data” as shown in Figure 1.
	e.
In step goal users relevant text 6 Introduction obtain small relevant text text data digest content text This goal discover knowledge patterns data support	 In this first step the main goal is to connect users or applications with the most relevant text data  6 Chapter 1 Introduction Once we obtain a small set of most relevant text data we would need to further analyze the text data to help users digest the content and knowledge in the text data  This is the text mining step where the goal is to further discover knowledge and patterns from text data so as to support a user’s task.
For access information querying recommender relevant items main user relevant TIS offering capability minimum text data information user’s original	 For example a search engine enables a user to access text information through querying whereas a recommender system can push relevant information to a user as new information items become available  Since the main purpose of Information Access is to connect a user with relevant information a TIS offering this capability generally only does minimum analysis of text data sufficient for matching relevant information with a user’s information need and the original inforation items e.
From perspective generally information exploit information Knowledge Acquisition Text	 From the perspective of text analysis a user would generally need to read the information items to further digest and exploit the delivered information  Knowledge Acquisition Text Analysis.
Knowledge Text Analysis.	 Knowledge Acquisition Text Analysis.
	 Text Organization.
access classified push.	 Information access can be further classified into two modes pull and push.
information access hoc 1 Functions Information Systems 9	 This mode of information access is often very useful when a user has an ad hoc 1 1 Functions of Text Information Systems 9 information need i e.
1 Information information information	1 Functions of Text Information Systems 9 information need i e  a temporary information need e.
need	g  an immediate need for opinions about a product.
language developed methods text communities slightly different problem text mining e.	 Both the data mining community and the natural language processing NLP community have developed methods for text mining although the two communities tend to adopt slightly different perspective on the problem  From a data mining perspective we may view text mining as mining a special kind of data i e.
naturally discover extract interesting text data latent trends outliers From text text convert form represen tation inferences based	 Following the general goals of data mining the goal of text mining would naturally be regarded as to discover and extract interesting patterns in text data which can include latent topics topical trends or outliers  From an NLP perspective text mining can be regarded as to partially understand natural language text convert text into some form of knowledge represen tation and make limited inferences based on the extracted knowledge.
information aims extract	 Thus a key task is to perform information extraction which often aims to identify and extract mentions of various entities e.
g	g  people organization and location and their relations e.
location relations e g.	 people organization and location and their relations e g.
classified direct discovered directly consumed users discovered isn’t necessarily user information access based discovered.	 Applications of text mining can be classified as either direct applications where the discovered knowledge would be directly consumed by users or indirect applications where the discovered knowledge isn’t necessarily directly useful to a user but can indirectly help a user through better support of information access  Knowledge acquisition can also be further classified based on what knowledge is to be discovered.
based range variations impossible use number Nevertheless identify common categories cover book.	 Knowledge acquisition can also be further classified based on what knowledge is to be discovered  However due to the wide range of variations of the “knowledge” it is impossible to use a small number of categories to cover all the variations  Nevertheless we can still identify a few common categories which we cover in this book.
Framework Information information consist illustrated Figure	2 Conceptual Framework for Text Information Systems Conceptually a text information system may consist of several modules as illustrated in Figure 1.
query return documents The TIS called engine.	 Search  Take a user’s query and return relevant documents  The search component in a TIS is generally called a search engine.
The TIS called engines useful engines effectively text	 The search component in a TIS is generally called a search engine  Web search engines are among the most useful search engines that enable users to effectively and efficiently deal with a huge amount of text data.
Depending relevant nonrelevant component TIS items items user relevant	 Depending on whether the system focuses on recognizing relevant items or nonrelevant items this component in a TIS may be called a recommender system whose goal is to recommend relevant items to users or a filtering system whose goal is to filter out nonrelevant items to allow a user to keep only the relevant items.
kinds meaningful enriching enables deeper	 The categorization component in a TIS can annotate text objects with all kinds of meaningful categories thus enriching the representation text data which further enables more effective and deeper text analysis.
Subject categorizers sentiment sentiment polarity specific examples text system.	 Subject categorizers that classify a text article into one or multiple subject categories and sentiment taggers that classify a sentence into positive negative or neutral in sentiment polarity are both specific examples of a text categorization system.
	 Topic Analysis.
companion nontextual time location data topic analysis generate interesting trends distributions profiles Extraction.	 When combined with the companion nontextual data such as time location authors and other meta data topic analysis can generate many interesting patterns such as temporal trends of topics spatiotemporal distributions of topics and topic profiles of authors  Information Extraction.
	     .
The plays important role helping information	   The clustering component of a TIS plays an important role in helping users explore an information space.
It useful browsing large	 It uses empirical data to create meaningful structures that can be useful for browsing text objects and obtaining a quick understanding of a large text data set.
display	 Visually display patterns in text data.
3 visualization results text mining generally	3 Organization of the Book 13 visualization of the results generated from various text mining algorithms is generally desirable.
Information focus general data language information	 Information extraction is not covered in this book since we want to focus on general approaches that can be readily applied to text data in any natural language but information extraction often requires languagespecific techniques.
techniques references chapter 1.	 Readers interested in these techniques can find some useful references in the Bibliographic Notes at the end of this chapter  1.
3 The book parts	 1 3 Organization of the Book The book is organized into four parts as shown in Figure 1.
Book book Figure	3 Organization of the Book The book is organized into four parts as shown in Figure 1 4  Part I.
	4  Part I.
	 Overview and Background.
language text data informative text needed text applications.	 This part also gives a brief overview of natural language processing techniques needed for understanding text data and obtaining informative representation of text needed in all text data analysis applications.
Part IV Text Management	 Part IV  Unified Text Management and Analysis System.
discuss requiring detailed analysis data natural language processing techniques Such “deep techniques like indepth text human	 Most techniques we discuss can be implemented without any human effort or only requiring minimal human effort this is in contrast to some more detailed analysis of text data particularly using natural language processing techniques  Such “deep analysis” techniques are obviously very important and are indeed necessary for some applications where we would like to go indepth to understand text in detail  However at this point these techniques are often not scalable and they tend to require a large amount of human effort.
However techniques scalable effort.	 However at this point these techniques are often not scalable and they tend to require a large amount of human effort.
META large contribution.	 The provided code in META should give a large head start and allow you to focus more on your contribution.
logical choose As prerequisite assume basic knowledge probability modifying config	 If used in class there are several logical flows that an instructor may choose to take  As prerequisite knowledge we assume some basic knowledge in probability and statistics as well as programming in a language such as C or Java  META is written in modern C although some exercises may be accomplished only by modifying config files.
As knowledge assume C modern modifying	 As prerequisite knowledge we assume some basic knowledge in probability and statistics as well as programming in a language such as C or Java  META is written in modern C although some exercises may be accomplished only by modifying config files.
2 undergraduate introduction Information Retrieval search assume basic programming experience choose 1.	 For example Part 1 and Part 2 of the book may be used as an undergraduate introduction to Information Retrieval with a focus on how search engines work  Exercises assume basic programming experience and a little mathematical background in probability and statistics  A different undergraduate course may choose to survey 1.
nature toolkit experiments existing	 Due to the modular nature of the toolkit additional programming experiments may be created by extending the existing system or implementing other wellknown algorithms that do not come with META by default.
students use META learned complete programming different yield challenges e.	 Finally students may use components of META they learned through the exercises to complete a larger final programming project  Using different corpora with the toolkit can yield different project challenges e.
review summary analysis	 review summary vs  sentiment analysis  Practitioners.
Then deeper Since programming required.	 Then you may choose a chapter relevant to your current interests and delve deeper or refresh your knowledge  Since many applications in META can be used simply via config files we anticipate it as a quick way to get a handle on your dataset and provide some baseline results without any programming required.
The exercises particular	 The exercises at the end of each chapter can be thought of as default implementations for a particular task at hand.
Croft et al.	 1999 and Belew 2008  The most recent ones are Manning et al  2008 Croft et al.
